detector_id,stream_id,node_id,asset_id,source_system,real_direction,lane_use,longitude,latitude,official_map_lane,official_map_distance_m,sumo_edge,sumo_lane,lane_position,distance_m,heading_error_deg,period,mapping_confidence,mapping_status,mapping_reason
hh_2394_Z_1_28495,28495,2394,Z.1,hamburg_official_infrared_count_fields,Richtung 1,,9.995369627,53.543615228,2,2.467,9702432#0,9702432#0_0,97.974,1.015,2.239,900,high,active,official MAP ingress-lane identity + detector-point projection onto the frozen SUMO lane
hh_2394_Z_2_30208,30208,2394,Z.2,hamburg_official_infrared_count_fields,Richtung 1,,9.995327365,53.543591864,2,4.225,9702432#0,9702432#0_0,98.14,3.359,2.239,900,medium,active,official MAP ingress-lane identity + detector-point projection onto the frozen SUMO lane
hh_2394_Z_3_29127,29127,2394,Z.3,hamburg_official_infrared_count_fields,Richtung 1,,9.995399355,53.543561658,3,0.703,9702432#0,9702432#0_1,98.14,2.066,3.984,900,medium,active,official MAP ingress-lane identity + detector-point projection onto the frozen SUMO lane
hh_2394_Z_4_30820,30820,2394,Z.4,hamburg_official_infrared_count_fields,Richtung 2,,9.995314909,53.543317673,6,0.659,381540198#1,381540198#1_0,0.1,1.565,3.305,900,high,active,official MAP ingress-lane identity + detector-point projection onto the frozen SUMO lane
hh_2394_Z_5_35320,35320,2394,Z.5,hamburg_official_infrared_count_fields,Richtung 2,,9.995270753,53.543307766,7,0.434,381540198#1,381540198#1_1,0.1,1.637,2.386,900,high,active,official MAP ingress-lane identity + detector-point projection onto the frozen SUMO lane
hh_2394_Z_6_29032,29032,2394,Z.6,hamburg_official_infrared_count_fields,Richtung 2,,9.995224441,53.543297782,7,3.690,381540198#1,381540198#1_1,0.1,1.642,2.386,900,high,active,official MAP ingress-lane identity + detector-point projection onto the frozen SUMO lane
hh_2394_Z_7_26767,26767,2394,Z.7,hamburg_official_infrared_count_fields,Richtung 2,,9.994928763,53.543360925,10,0.861,47854310#2,47854310#2_0,21.82,0.446,3.753,900,high,active,official MAP ingress-lane identity + detector-point projection onto the frozen SUMO lane
hh_2394_Z_8_27151,27151,2394,Z.8,hamburg_official_infrared_count_fields,Richtung 2,,9.994918918,53.543390688,11,0.840,47854310#2,47854310#2_1,21.82,0.288,1.092,900,high,active,official MAP ingress-lane identity + detector-point projection onto the frozen SUMO lane
hh_2394_Z_9_32139,32139,2394,Z.9,hamburg_official_infrared_count_fields,Richtung 2,,9.99490913,53.543419405,12,0.783,47854310#2,47854310#2_2,21.82,0.226,1.093,900,high,active,official MAP ingress-lane identity + detector-point projection onto the frozen SUMO lane
hh_2403_Z_1_31912,31912,2403,Z.1,hamburg_official_infrared_count_fields,Richtung 1,,9.998052088,53.54429302,,,25444569#0,25444569#0_0,25.099999999999998,4.307,,900,medium,active,"official engineering-plan lane count + translation-normalized detector constellation; geometric inference, not an official Z-to-lane identity"
hh_2403_Z_10_32693,32693,2403,Z.10,hamburg_official_infrared_count_fields,unbekannt,,9.997695187,53.544320534,,,152813965#1,152813965#1_0,3.52,0.345,,900,high,active,strict geometry-only binding; serial SUMO edge cuts collapsed to the upstream lane; explicit EPSG:25832 conversion; no official MAP lane identity
hh_2403_Z_2_28751,28751,2403,Z.2,hamburg_official_infrared_count_fields,Richtung 1,,9.998073409,53.544265788,,,25444569#0,25444569#0_1,25.099999999999998,4.446,,900,medium,active,"official engineering-plan lane count + translation-normalized detector constellation; geometric inference, not an official Z-to-lane identity"
hh_2403_Z_3_29224,29224,2403,Z.3,hamburg_official_infrared_count_fields,Richtung 1,,9.998093289,53.544240947,,,25444569#0,25444569#0_2,25.099999999999998,4.311,,900,medium,active,"official engineering-plan lane count + translation-normalized detector constellation; geometric inference, not an official Z-to-lane identity"
hh_2403_Z_4_33751,33751,2403,Z.4,hamburg_official_infrared_count_fields,Richtung 1,,9.998112186,53.544216708,,,25444569#0,25444569#0_3,25.099999999999998,4.086,,900,medium,active,"official engineering-plan lane count + translation-normalized detector constellation; geometric inference, not an official Z-to-lane identity"
hh_2403_Z_5_26523,26523,2403,Z.5,hamburg_official_infrared_count_fields,Richtung 2,,9.998159045,53.544171723,,,60578532#1,60578532#1_1,4.279,0.518,,900,high,active,strict geometry-only binding; explicit EPSG:25832 conversion; no official MAP lane identity
hh_2403_Z_6_34490,34490,2403,Z.6,hamburg_official_infrared_count_fields,Richtung 2,,9.998177434,53.544147191,,,60578532#1,60578532#1_0,4.203,0.305,,900,high,active,strict geometry-only binding; explicit EPSG:25832 conversion; no official MAP lane identity
hh_2403_Z_7_27722,27722,2403,Z.7,hamburg_official_infrared_count_fields,Richtung 2,,9.997989383,53.543914772,,,554706401#0,554706401#0_1,49.569,0.362,,900,high,active,strict geometry-only binding; explicit EPSG:25832 conversion; no official MAP lane identity
hh_2403_Z_8_30318,30318,2403,Z.8,hamburg_official_infrared_count_fields,Richtung 2,,9.99739337,53.543987705,,,83075275#0,83075275#0_2,82.46000000000001,0.919,,900,high,active,strict geometry-only binding; serial SUMO edge cuts collapsed to the upstream lane; explicit EPSG:25832 conversion; no official MAP lane identity
hh_2403_Z_9_28466,28466,2403,Z.9,hamburg_official_infrared_count_fields,Richtung 1,,9.9976496,53.544313482,,,-152813965#2,-152813965#2_2,16.97,0.158,,900,high,active,strict geometry-only binding; serial SUMO edge cuts collapsed to the upstream lane; explicit EPSG:25832 conversion; no official MAP lane identity
