scope_id,node_id,direction,begin,end,interval_seconds,detector_count,expected_total,detector_ids,quality_status,aggregation_method
hamburg_sandtorkai_2349_2394_2403_named_entries_v1,2394,Richtung 1,0,900,900,3,108,hh_2394_Z_1_28495 hh_2394_Z_2_30208 hh_2394_Z_3_29127,complete,sum_official_detector_15min_rows_by_node_and_direction
hamburg_sandtorkai_2349_2394_2403_named_entries_v1,2394,Richtung 2,0,900,900,6,146,hh_2394_Z_4_30820 hh_2394_Z_5_35320 hh_2394_Z_6_29032 hh_2394_Z_7_26767 hh_2394_Z_8_27151 hh_2394_Z_9_32139,complete,sum_official_detector_15min_rows_by_node_and_direction
hamburg_sandtorkai_2349_2394_2403_named_entries_v1,2403,Richtung 1,0,900,900,6,220,hh_2403_Z_10_32693 hh_2403_Z_1_31912 hh_2403_Z_2_28751 hh_2403_Z_3_29224 hh_2403_Z_4_33751 hh_2403_Z_9_28466,complete,sum_official_detector_15min_rows_by_node_and_direction
hamburg_sandtorkai_2349_2394_2403_named_entries_v1,2403,Richtung 2,0,900,900,4,177,hh_2403_Z_5_26523 hh_2403_Z_6_34490 hh_2403_Z_7_27722 hh_2403_Z_8_30318,complete,sum_official_detector_15min_rows_by_node_and_direction
hamburg_sandtorkai_2349_2394_2403_named_entries_v1,2394,Richtung 1,900,1800,900,3,100,hh_2394_Z_1_28495 hh_2394_Z_2_30208 hh_2394_Z_3_29127,complete,sum_official_detector_15min_rows_by_node_and_direction
hamburg_sandtorkai_2349_2394_2403_named_entries_v1,2394,Richtung 2,900,1800,900,6,132,hh_2394_Z_4_30820 hh_2394_Z_5_35320 hh_2394_Z_6_29032 hh_2394_Z_7_26767 hh_2394_Z_8_27151 hh_2394_Z_9_32139,complete,sum_official_detector_15min_rows_by_node_and_direction
hamburg_sandtorkai_2349_2394_2403_named_entries_v1,2403,Richtung 1,900,1800,900,6,198,hh_2403_Z_10_32693 hh_2403_Z_1_31912 hh_2403_Z_2_28751 hh_2403_Z_3_29224 hh_2403_Z_4_33751 hh_2403_Z_9_28466,complete,sum_official_detector_15min_rows_by_node_and_direction
hamburg_sandtorkai_2349_2394_2403_named_entries_v1,2403,Richtung 2,900,1800,900,4,170,hh_2403_Z_5_26523 hh_2403_Z_6_34490 hh_2403_Z_7_27722 hh_2403_Z_8_30318,complete,sum_official_detector_15min_rows_by_node_and_direction
hamburg_sandtorkai_2349_2394_2403_named_entries_v1,2394,Richtung 1,1800,2700,900,3,109,hh_2394_Z_1_28495 hh_2394_Z_2_30208 hh_2394_Z_3_29127,complete,sum_official_detector_15min_rows_by_node_and_direction
hamburg_sandtorkai_2349_2394_2403_named_entries_v1,2394,Richtung 2,1800,2700,900,6,154,hh_2394_Z_4_30820 hh_2394_Z_5_35320 hh_2394_Z_6_29032 hh_2394_Z_7_26767 hh_2394_Z_8_27151 hh_2394_Z_9_32139,complete,sum_official_detector_15min_rows_by_node_and_direction
hamburg_sandtorkai_2349_2394_2403_named_entries_v1,2403,Richtung 1,1800,2700,900,6,223,hh_2403_Z_10_32693 hh_2403_Z_1_31912 hh_2403_Z_2_28751 hh_2403_Z_3_29224 hh_2403_Z_4_33751 hh_2403_Z_9_28466,complete,sum_official_detector_15min_rows_by_node_and_direction
hamburg_sandtorkai_2349_2394_2403_named_entries_v1,2403,Richtung 2,1800,2700,900,4,176,hh_2403_Z_5_26523 hh_2403_Z_6_34490 hh_2403_Z_7_27722 hh_2403_Z_8_30318,complete,sum_official_detector_15min_rows_by_node_and_direction
hamburg_sandtorkai_2349_2394_2403_named_entries_v1,2394,Richtung 1,2700,3600,900,3,105,hh_2394_Z_1_28495 hh_2394_Z_2_30208 hh_2394_Z_3_29127,complete,sum_official_detector_15min_rows_by_node_and_direction
hamburg_sandtorkai_2349_2394_2403_named_entries_v1,2394,Richtung 2,2700,3600,900,6,132,hh_2394_Z_4_30820 hh_2394_Z_5_35320 hh_2394_Z_6_29032 hh_2394_Z_7_26767 hh_2394_Z_8_27151 hh_2394_Z_9_32139,complete,sum_official_detector_15min_rows_by_node_and_direction
hamburg_sandtorkai_2349_2394_2403_named_entries_v1,2403,Richtung 1,2700,3600,900,6,221,hh_2403_Z_10_32693 hh_2403_Z_1_31912 hh_2403_Z_2_28751 hh_2403_Z_3_29224 hh_2403_Z_4_33751 hh_2403_Z_9_28466,complete,sum_official_detector_15min_rows_by_node_and_direction
hamburg_sandtorkai_2349_2394_2403_named_entries_v1,2403,Richtung 2,2700,3600,900,4,205,hh_2403_Z_5_26523 hh_2403_Z_6_34490 hh_2403_Z_7_27722 hh_2403_Z_8_30318,complete,sum_official_detector_15min_rows_by_node_and_direction
hamburg_sandtorkai_2349_2394_2403_named_entries_v1,2394,Richtung 1,3600,4500,900,3,106,hh_2394_Z_1_28495 hh_2394_Z_2_30208 hh_2394_Z_3_29127,complete,sum_official_detector_15min_rows_by_node_and_direction
hamburg_sandtorkai_2349_2394_2403_named_entries_v1,2394,Richtung 2,3600,4500,900,6,135,hh_2394_Z_4_30820 hh_2394_Z_5_35320 hh_2394_Z_6_29032 hh_2394_Z_7_26767 hh_2394_Z_8_27151 hh_2394_Z_9_32139,complete,sum_official_detector_15min_rows_by_node_and_direction
hamburg_sandtorkai_2349_2394_2403_named_entries_v1,2403,Richtung 1,3600,4500,900,6,204,hh_2403_Z_10_32693 hh_2403_Z_1_31912 hh_2403_Z_2_28751 hh_2403_Z_3_29224 hh_2403_Z_4_33751 hh_2403_Z_9_28466,complete,sum_official_detector_15min_rows_by_node_and_direction
hamburg_sandtorkai_2349_2394_2403_named_entries_v1,2403,Richtung 2,3600,4500,900,4,186,hh_2403_Z_5_26523 hh_2403_Z_6_34490 hh_2403_Z_7_27722 hh_2403_Z_8_30318,complete,sum_official_detector_15min_rows_by_node_and_direction
hamburg_sandtorkai_2349_2394_2403_named_entries_v1,2394,Richtung 1,4500,5400,900,3,135,hh_2394_Z_1_28495 hh_2394_Z_2_30208 hh_2394_Z_3_29127,complete,sum_official_detector_15min_rows_by_node_and_direction
